neuron,stationary,adf_pvalue,f_stat,granger_pvalue,is_causal
hidden_0_n0,True,0.0,65.0288293654076,4.08971288638508e-34,True
hidden_0_n1,True,0.0,57.23795954692153,1.1106809741286235e-30,True
hidden_0_n2,True,0.0,73.81341101041461,7.911551742645765e-38,True
hidden_0_n3,True,0.0,46.69651863885816,8.353753648899963e-26,True
hidden_0_n4,True,0.0,49.027737413034224,6.598817259413388e-27,True
hidden_0_n5,True,0.0,42.26711295095092,1.1377979655744854e-23,True
hidden_0_n6,True,0.0,23.348079658714845,6.416707961531384e-14,True
hidden_0_n7,True,0.0,51.72084049716763,3.657842682462894e-28,True
hidden_0_n8,True,0.0,33.927266446011174,1.668822096232202e-19,True
hidden_0_n9,True,0.0,84.15779194626006,5.284875653203009e-42,True
hidden_0_n10,True,0.0,69.00777513749216,8.12245774057013e-36,True
hidden_0_n11,True,0.0,37.57225926099104,2.382111053670238e-21,True
hidden_0_n12,True,0.0,46.45061486168621,1.0939383125210304e-25,True
hidden_0_n13,True,0.0,36.452613072639636,8.703764369085872e-21,True
hidden_0_n14,True,0.0,45.73266440954583,2.4089423322563087e-25,True
hidden_0_n15,True,0.0,35.91796838882395,1.62071916580614e-20,True
hidden_1_n0,True,0.0,32.58530062055515,8.160849594930148e-19,True
hidden_1_n1,True,0.0,38.36714250508734,9.541922638957185e-22,True
hidden_1_n2,True,0.0,32.94706441052847,5.313454178877755e-19,True
hidden_1_n3,True,0.0,14.498701943736657,5.677240574233185e-09,True
hidden_1_n4,True,0.0,64.65298916974835,5.9459924977715095e-34,True
hidden_1_n5,True,0.0,31.7022977423697,2.3348764088292876e-18,True
hidden_1_n6,True,0.0,75.835540261902,1.1637295107057439e-38,True
hidden_1_n7,True,0.0,48.26858403612449,1.5028636017297771e-26,True
