label,method,seed,prune_pct,train_loss,test_loss,accuracy,f1_score,n_params,model_size_kb,inference_ms
baseline,baseline,42,0,0.0727,0.1165,0.9333,0.9333,243,3.94,0.09
causal_10,causal,42,10,0.0556,0.0927,0.9333,0.9333,230,3.75,0.057
causal_20,causal,42,20,0.0548,0.0873,0.9667,0.9666,187,3.63,0.059
causal_30,causal,42,30,0.0587,0.0919,0.9667,0.9666,159,3.57,0.061
causal_40,causal,42,40,0.0818,0.112,0.9333,0.9333,123,3.38,0.06
causal_50,causal,42,50,0.2714,0.2953,0.9667,0.9666,91,3.32,0.06
causal_60,causal,42,60,0.2632,0.2873,0.9333,0.9333,82,3.19,0.06
magnitude_10,magnitude,42,10,0.0516,0.0947,0.9333,0.9333,230,3.75,0.059
magnitude_20,magnitude,42,20,0.0567,0.0888,0.9667,0.9666,187,3.63,0.058
magnitude_30,magnitude,42,30,0.0698,0.1074,0.9333,0.9333,159,3.57,0.062
magnitude_40,magnitude,42,40,0.0777,0.115,0.9333,0.9333,123,3.38,0.063
magnitude_50,magnitude,42,50,0.0994,0.1347,0.9333,0.9333,91,3.32,0.11
magnitude_60,magnitude,42,60,0.1104,0.1485,0.9333,0.9333,82,3.19,0.081
random_10,random,42,10,0.0534,0.0905,0.9333,0.9333,230,3.75,0.1
random_20,random,42,20,0.0693,0.1061,0.9333,0.9333,187,3.63,0.06
random_30,random,42,30,0.1046,0.152,0.9333,0.9333,159,3.57,0.063
random_40,random,42,40,0.2701,0.313,0.9333,0.9333,123,3.38,0.06
random_50,random,42,50,0.3527,0.3943,0.9333,0.9333,91,3.32,0.06
random_60,random,42,60,0.4373,0.455,0.8667,0.8611,82,3.19,0.101
baseline,baseline,123,0,0.0807,0.1091,0.9667,0.9666,243,3.94,0.088
causal_10,causal,123,10,0.0595,0.0813,0.9667,0.9666,230,3.75,0.125
causal_20,causal,123,20,0.0719,0.0987,0.9667,0.9666,187,3.63,0.086
causal_30,causal,123,30,0.0827,0.1119,0.9667,0.9666,159,3.57,0.088
causal_40,causal,123,40,0.1157,0.1476,0.9667,0.9666,123,3.38,0.088
causal_50,causal,123,50,0.1453,0.1735,0.9667,0.9666,91,3.32,0.085
causal_60,causal,123,60,0.1622,0.1891,0.9667,0.9666,82,3.19,0.076
magnitude_10,magnitude,123,10,0.0722,0.0991,0.9667,0.9666,230,3.75,0.088
magnitude_20,magnitude,123,20,0.0723,0.0979,0.9667,0.9666,187,3.63,0.06
magnitude_30,magnitude,123,30,0.0832,0.1127,0.9667,0.9666,159,3.57,0.059
magnitude_40,magnitude,123,40,0.1511,0.1988,0.9333,0.9327,123,3.38,0.06
magnitude_50,magnitude,123,50,0.1973,0.2418,0.9,0.8997,91,3.32,0.059
magnitude_60,magnitude,123,60,0.2208,0.264,0.8667,0.8653,82,3.19,0.069
random_10,random,123,10,0.0601,0.0825,0.9667,0.9666,230,3.75,0.06
random_20,random,123,20,0.0642,0.0898,0.9667,0.9666,187,3.63,0.073
random_30,random,123,30,0.089,0.1178,0.9667,0.9666,159,3.57,0.059
random_40,random,123,40,0.1263,0.1739,0.9333,0.9333,123,3.38,0.059
random_50,random,123,50,0.5084,0.551,0.9,0.8977,91,3.32,0.059
random_60,random,123,60,0.4152,0.4219,0.6667,0.5556,82,3.19,0.06
baseline,baseline,2024,0,0.0786,0.1146,0.9333,0.9333,243,3.94,0.103
causal_10,causal,2024,10,0.0572,0.0891,0.9333,0.9333,230,3.75,0.06
causal_20,causal,2024,20,0.0589,0.0917,0.9333,0.9333,187,3.63,0.06
causal_30,causal,2024,30,0.0612,0.0923,0.9333,0.9333,159,3.57,0.069
causal_40,causal,2024,40,0.0798,0.1151,0.9333,0.9333,123,3.38,0.058
causal_50,causal,2024,50,0.1493,0.185,0.9333,0.9333,91,3.32,0.059
causal_60,causal,2024,60,0.1543,0.1897,0.9333,0.9333,82,3.19,0.061
magnitude_10,magnitude,2024,10,0.0568,0.0865,0.9333,0.9333,230,3.75,0.059
magnitude_20,magnitude,2024,20,0.0617,0.096,0.9333,0.9333,187,3.63,0.095
magnitude_30,magnitude,2024,30,0.0659,0.0958,0.9667,0.9666,159,3.57,0.107
magnitude_40,magnitude,2024,40,0.1114,0.1463,0.9667,0.9666,123,3.38,0.088
magnitude_50,magnitude,2024,50,0.1425,0.1863,0.9667,0.9666,91,3.32,0.09
magnitude_60,magnitude,2024,60,0.1716,0.2223,0.9333,0.9333,82,3.19,0.091
random_10,random,2024,10,0.0577,0.0896,0.9333,0.9333,230,3.75,0.071
random_20,random,2024,20,0.0727,0.1041,0.9333,0.9333,187,3.63,0.064
random_30,random,2024,30,0.0857,0.1286,0.9333,0.9333,159,3.57,0.06
random_40,random,2024,40,0.1951,0.218,0.9667,0.9666,123,3.38,0.06
random_50,random,2024,50,0.387,0.4207,0.8,0.7802,91,3.32,0.059
random_60,random,2024,60,0.5937,0.6048,0.8333,0.8307,82,3.19,0.061
