method,prune_pct,accuracy_mean,accuracy_std,f1_mean,f1_std,params_mean,inference_ms_mean
causal,10,0.9444333333333333,0.01928349899093351,0.9444,0.01922576396401452,230.0,0.08066666666666666
causal,20,0.9555666666666666,0.01928349899093349,0.9555000000000001,0.019225763964014535,187.0,0.06833333333333333
causal,30,0.9555666666666666,0.01928349899093349,0.9555000000000001,0.019225763964014535,159.0,0.07266666666666667
causal,40,0.9444333333333333,0.01928349899093351,0.9444,0.01922576396401452,123.0,0.06866666666666667
causal,50,0.9555666666666666,0.01928349899093349,0.9555000000000001,0.019225763964014535,91.0,0.068
causal,60,0.9444333333333333,0.01928349899093351,0.9444,0.01922576396401452,82.0,0.06566666666666666
magnitude,10,0.9444333333333333,0.01928349899093351,0.9444,0.01922576396401452,230.0,0.06866666666666667
magnitude,20,0.9555666666666666,0.01928349899093349,0.9555000000000001,0.019225763964014535,187.0,0.071
magnitude,30,0.9555666666666666,0.019283498990933526,0.9555000000000001,0.019225763964014504,159.0,0.076
magnitude,40,0.9444333333333333,0.01928349899093349,0.9442,0.01940128861699653,123.0,0.07033333333333333
magnitude,50,0.9333333333333332,0.033350012493750775,0.9331999999999999,0.03345011210743543,91.0,0.08633333333333333
magnitude,60,0.9110999999999999,0.03845152792802907,0.9106333333333333,0.0392598183048946,82.0,0.08033333333333333
random,10,0.9444333333333333,0.01928349899093351,0.9444,0.01922576396401452,230.0,0.077
random,20,0.9444333333333333,0.01928349899093351,0.9444,0.01922576396401452,187.0,0.06566666666666666
random,30,0.9444333333333333,0.01928349899093351,0.9444,0.01922576396401452,159.0,0.06066666666666667
random,40,0.9444333333333333,0.01928349899093349,0.9444,0.019225763964014535,123.0,0.059666666666666666
random,50,0.8777666666666667,0.06937552402204489,0.8704000000000001,0.08011785069508538,91.0,0.05933333333333333
random,60,0.7888999999999999,0.10713785512133425,0.7491333333333333,0.16829261223634667,82.0,0.074
