step,loss,hidden_0_n0,hidden_0_n1,hidden_0_n2,hidden_0_n3,hidden_0_n4,hidden_0_n5,hidden_0_n6,hidden_0_n7,hidden_0_n8,hidden_0_n9,hidden_0_n10,hidden_0_n11,hidden_0_n12,hidden_0_n13,hidden_0_n14,hidden_0_n15,hidden_0_n16,hidden_0_n17,hidden_0_n18,hidden_0_n19,hidden_0_n20,hidden_0_n21,hidden_0_n22,hidden_0_n23,hidden_0_n24,hidden_0_n25,hidden_0_n26,hidden_0_n27,hidden_0_n28,hidden_0_n29,hidden_0_n30,hidden_0_n31,hidden_0_n32,hidden_0_n33,hidden_0_n34,hidden_0_n35,hidden_0_n36,hidden_0_n37,hidden_0_n38,hidden_0_n39,hidden_0_n40,hidden_0_n41,hidden_0_n42,hidden_0_n43,hidden_0_n44,hidden_0_n45,hidden_0_n46,hidden_0_n47,hidden_0_n48,hidden_0_n49,hidden_0_n50,hidden_0_n51,hidden_0_n52,hidden_0_n53,hidden_0_n54,hidden_0_n55,hidden_0_n56,hidden_0_n57,hidden_0_n58,hidden_0_n59,hidden_0_n60,hidden_0_n61,hidden_0_n62,hidden_0_n63,hidden_0_n64,hidden_0_n65,hidden_0_n66,hidden_0_n67,hidden_0_n68,hidden_0_n69,hidden_0_n70,hidden_0_n71,hidden_0_n72,hidden_0_n73,hidden_0_n74,hidden_0_n75,hidden_0_n76,hidden_0_n77,hidden_0_n78,hidden_0_n79,hidden_0_n80,hidden_0_n81,hidden_0_n82,hidden_0_n83,hidden_0_n84,hidden_0_n85,hidden_0_n86,hidden_0_n87,hidden_0_n88,hidden_0_n89,hidden_0_n90,hidden_0_n91,hidden_0_n92,hidden_0_n93,hidden_0_n94,hidden_0_n95,hidden_0_n96,hidden_0_n97,hidden_0_n98,hidden_0_n99,hidden_0_n100,hidden_0_n101,hidden_0_n102,hidden_0_n103,hidden_0_n104,hidden_0_n105,hidden_0_n106,hidden_0_n107,hidden_0_n108,hidden_0_n109,hidden_0_n110,hidden_0_n111,hidden_0_n112,hidden_0_n113,hidden_0_n114,hidden_0_n115,hidden_0_n116,hidden_0_n117,hidden_0_n118,hidden_0_n119,hidden_0_n120,hidden_0_n121,hidden_0_n122,hidden_0_n123,hidden_0_n124,hidden_0_n125,hidden_0_n126,hidden_0_n127,hidden_1_n0,hidden_1_n1,hidden_1_n2,hidden_1_n3,hidden_1_n4,hidden_1_n5,hidden_1_n6,hidden_1_n7,hidden_1_n8,hidden_1_n9,hidden_1_n10,hidden_1_n11,hidden_1_n12,hidden_1_n13,hidden_1_n14,hidden_1_n15,hidden_1_n16,hidden_1_n17,hidden_1_n18,hidden_1_n19,hidden_1_n20,hidden_1_n21,hidden_1_n22,hidden_1_n23,hidden_1_n24,hidden_1_n25,hidden_1_n26,hidden_1_n27,hidden_1_n28,hidden_1_n29,hidden_1_n30,hidden_1_n31,hidden_1_n32,hidden_1_n33,hidden_1_n34,hidden_1_n35,hidden_1_n36,hidden_1_n37,hidden_1_n38,hidden_1_n39,hidden_1_n40,hidden_1_n41,hidden_1_n42,hidden_1_n43,hidden_1_n44,hidden_1_n45,hidden_1_n46,hidden_1_n47,hidden_1_n48,hidden_1_n49,hidden_1_n50,hidden_1_n51,hidden_1_n52,hidden_1_n53,hidden_1_n54,hidden_1_n55,hidden_1_n56,hidden_1_n57,hidden_1_n58,hidden_1_n59,hidden_1_n60,hidden_1_n61,hidden_1_n62,hidden_1_n63,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9
0,0.019422,-0.719575,-1.023044,-0.621153,0.580346,-0.825654,1.347569,1.456605,-3.080696,1.674258,0.630803,-4.538618,-4.55436,0.312626,1.676821,-0.465181,0.35961,-1.901309,-0.600318,-0.650697,4.331145,2.591487,-0.763334,4.102089,-3.9132,0.220167,-1.58084,1.232944,2.953876,1.384694,-1.65947,1.805104,1.22603,2.058736,1.276316,0.224535,0.642483,0.973674,0.497153,0.657727,-3.585668,1.252723,-2.143844,-2.265491,2.532267,0.545331,2.197189,1.100416,-0.599273,3.333015,2.009662,1.147541,1.852511,1.839678,1.10927,4.437811,-0.458961,-0.613948,-0.680412,-1.166933,-2.577532,-4.176264,-2.670601,-2.086176,2.325221,0.716542,0.922205,-0.493552,1.830932,0.631611,1.638659,1.993104,-1.575741,-5.09249,3.736765,-2.540483,0.231084,0.032559,0.227249,1.576939,-0.083039,-4.719565,0.059223,0.201606,-1.458594,1.935167,0.393582,-4.424281,0.747753,3.46843,-0.040103,-2.402533,0.201719,-1.071546,-1.849665,3.528412,2.652761,1.845832,0.444762,-0.193224,2.261008,-1.965394,0.22221,2.713632,-0.678328,-2.662915,3.10827,0.022731,1.994152,-0.027777,-1.041505,-1.363946,4.871267,-3.172653,-0.552592,4.219409,0.967863,-3.382904,2.089359,1.12648,-0.799814,-0.78836,-0.346223,-5.419585,4.151124,-3.165761,0.538072,-2.644723,-0.649979,2.568181,2.788249,1.769004,4.278476,-2.788412,2.806852,-0.846182,4.689516,4.954344,-1.764313,4.739616,-0.708755,2.878553,0.67637,2.560326,-3.48875,2.337425,2.14538,1.91983,-3.854934,0.809245,2.750558,1.696136,-0.272567,0.13675,-4.82836,2.687346,3.958124,4.123926,2.888486,5.079966,2.69284,4.501779,1.540862,1.599128,-2.847862,2.043465,1.52318,4.02129,3.706761,-1.268255,5.741769,7.114781,2.272048,1.92281,2.906526,5.193877,4.253667,2.866575,2.989988,3.754837,0.159356,0.678368,4.235271,1.419864,2.754092,1.493758,1.129525,2.368961,2.193773,2.138651,0.08353,6.014756,0.632111,-5.359595,-3.760665,-1.544363,-1.344136,-7.493357,-2.641586,-6.00317,-3.213094,-2.724899,-1.550515
1,0.052009,-0.790653,-0.67576,-0.496942,0.333761,-0.724159,1.646379,1.295291,-3.041691,2.126083,0.638727,-4.076746,-4.513996,0.137042,1.633334,-0.41349,0.36879,-2.456737,-0.738173,-0.970935,4.035121,2.936809,-0.528254,3.775602,-3.250968,0.382404,-1.263076,1.254309,2.751084,1.550086,-1.712245,1.330081,1.32351,1.836185,0.900833,0.140049,1.034895,0.454545,0.812367,0.659777,-3.648924,1.064069,-2.150304,-1.921858,2.285575,0.596617,2.351267,1.313014,-0.275882,3.419922,1.72085,0.651494,1.527446,1.701688,0.863395,3.973992,-0.164368,-0.481003,-1.042937,-0.964946,-2.584524,-3.971986,-2.332053,-1.688297,2.072235,0.508292,1.624159,-0.235036,1.970593,0.554211,1.436384,2.253647,-0.979791,-4.687159,3.359162,-2.179445,0.273621,0.057598,0.331091,1.611286,0.569221,-4.874572,-0.103194,0.061916,-1.263557,1.641165,0.64135,-4.331871,0.638629,3.991577,-0.016767,-2.410217,0.639772,-0.94357,-1.670263,3.08979,2.666437,2.096184,0.227051,-0.075635,2.049203,-1.676867,0.229725,2.46678,-0.117795,-2.566921,2.979998,0.570387,2.064162,0.133554,-1.453677,-1.263437,4.96024,-2.692106,-0.32761,3.835784,0.633817,-2.836187,1.977935,1.281065,-0.772609,-0.627804,-0.686783,-5.212364,3.778974,-3.054627,0.488949,-2.501727,-0.673319,2.325178,2.808909,1.814003,4.337117,-2.170687,2.957954,-0.747971,4.593436,4.743929,-1.366559,4.598094,-0.841946,3.030023,0.477878,2.767142,-3.796971,2.908779,2.207537,2.045473,-3.632218,0.428846,2.524846,0.900197,-0.056091,-0.323476,-4.590115,2.721238,3.821721,4.10954,2.98149,4.797631,2.642812,3.835725,1.163992,1.909853,-2.673639,2.398514,1.083792,3.923323,3.696034,-1.184903,6.050682,6.77981,2.2104,1.769726,2.994654,5.053576,4.144055,2.573573,3.045161,3.498412,0.204337,0.33312,4.24093,1.502125,2.906184,1.549291,1.606238,2.375901,2.317945,2.051736,0.576072,5.799992,1.015882,-5.258848,-4.266813,-1.712518,-1.218566,-7.034881,-2.217228,-6.395797,-2.848017,-2.930642,-0.967179
2,0.023384,-0.39966,-1.163787,-0.371792,0.419312,-0.956819,1.2581,1.152547,-3.094294,1.839699,0.821317,-4.777998,-4.520671,0.342966,1.321501,-0.529533,0.260403,-2.630167,-0.482877,-0.360986,4.104297,2.663548,-0.490065,4.210675,-4.580271,-0.138188,-1.386935,0.830917,2.678149,1.952569,-1.094425,1.573073,1.168603,1.828577,0.658032,0.015491,0.923169,1.091698,0.753651,0.760292,-4.116614,0.800184,-2.150724,-1.640434,2.435239,0.39055,2.126373,0.951624,0.437248,3.171691,1.989034,0.800707,1.553732,1.494617,1.374519,4.24943,-0.317673,0.115559,-0.899183,-1.537188,-2.655589,-4.437871,-2.485185,-2.007093,2.268544,0.274016,0.542301,-0.59608,1.561865,0.851036,1.649839,2.10484,-1.677519,-4.831982,3.920358,-3.286657,0.238304,-0.203236,-0.151949,1.519179,-0.217443,-4.901442,-0.320975,0.249612,-0.893044,1.867984,0.925401,-4.25025,0.700813,3.51766,-0.355545,-2.245286,0.154151,-0.956848,-1.297737,3.099937,2.324389,1.627819,0.584314,0.113971,2.398357,-2.050056,0.049776,2.260024,-0.17056,-2.621299,2.52703,-0.189493,1.76822,0.423271,-1.204808,-1.46245,4.60154,-3.524935,-0.755042,4.433612,0.746753,-3.466927,1.948834,1.258483,-0.538298,-0.731907,-0.710939,-5.095354,3.759035,-3.158918,0.088218,-2.920914,-0.17421,2.380838,3.198371,1.852534,3.982687,-2.227855,2.483307,-0.658277,4.455303,4.675959,-2.033561,4.682733,-0.094906,2.899766,0.697522,2.457701,-3.219261,2.211758,2.247332,1.795065,-3.73881,0.625786,2.688407,1.952148,-0.425172,0.168682,-4.702823,2.496032,3.785719,3.652011,2.376201,4.625556,2.764686,4.469237,1.682148,1.51848,-2.900787,1.679642,1.446189,4.20243,3.184987,-0.878519,5.34785,6.718899,1.817149,1.913164,2.897549,4.956447,4.485917,3.080607,3.084899,4.127712,0.191043,0.937335,3.722184,1.71197,2.790844,0.945318,1.055406,1.934914,2.62535,2.353817,0.688865,5.546723,1.128477,-5.293978,-3.129562,-1.531368,-2.092709,-6.458914,-2.822596,-5.178126,-3.646411,-2.84682,-1.647725
3,0.032224,-1.020288,-0.93734,-1.164362,0.266198,-1.055226,2.028682,1.207597,-3.089775,1.263627,0.575455,-4.231791,-5.668439,0.793062,1.426035,-0.615667,0.605932,-2.865808,-0.673481,-1.100895,4.254885,2.663967,-1.016434,3.844642,-4.04972,0.257926,-0.858616,1.055846,2.288205,1.814373,-1.665991,1.885514,1.493722,2.160818,1.034203,0.215398,0.86642,0.842634,0.804452,1.016351,-3.554003,1.338324,-2.176207,-2.339578,2.552491,0.427177,2.239752,1.256109,-0.613883,3.324908,2.40034,0.946159,1.517929,1.958553,1.053914,4.026384,-0.455459,0.01921,-1.406521,-1.156289,-2.671313,-4.115458,-2.866713,-1.766784,2.26502,0.146278,1.087785,-1.298487,1.67571,0.782119,1.46203,2.131866,-1.674575,-4.526679,3.706146,-2.227162,0.297959,-0.55834,0.117594,1.884031,0.265001,-5.814758,-0.443369,0.223518,-1.123587,1.880844,0.863806,-3.939982,0.671104,3.477096,0.068186,-2.655027,0.617401,-1.478818,-1.466735,3.233534,2.378203,1.801034,0.266656,-0.187258,2.257978,-2.863912,-0.023484,2.381368,-0.425856,-2.682337,2.840094,0.467431,1.836779,0.3349,-1.718386,-1.314343,4.76803,-3.120424,-0.203434,3.94329,0.69309,-2.680844,1.717938,1.120239,-0.579298,-1.644095,-0.939767,-5.912092,3.901359,-2.847941,0.207851,-3.27237,-0.276255,2.411012,3.130655,1.796024,4.009527,-2.152723,2.881052,-0.469268,4.683518,4.949114,-1.92566,4.918617,-0.564997,2.973893,0.355634,2.632456,-3.754921,2.627396,2.241885,1.971527,-3.381296,0.530673,2.624785,0.985905,-0.304317,0.130628,-4.764955,2.809537,4.214742,3.919212,2.918031,4.782938,2.89205,4.413791,1.247728,1.806297,-2.532225,2.210525,1.002848,3.796382,3.419417,-0.72845,6.048847,6.631913,2.080359,1.812748,2.958803,4.965671,4.111485,2.945339,3.231392,3.817093,0.294028,0.59324,4.028022,1.51824,2.735775,1.558372,1.44335,2.271329,2.432444,1.75745,0.377428,5.716338,0.912029,-5.468266,-4.404973,-1.475365,-1.351868,-6.773871,-2.547283,-6.018793,-3.118666,-2.704745,-1.627131
4,0.045467,-0.390687,-1.115098,-0.715042,0.01139,-1.186913,1.351585,1.141716,-3.145589,1.7751,1.046385,-4.572952,-5.118582,0.045196,1.363147,-0.813858,0.809771,-3.031578,-0.807103,-1.310201,4.313309,2.739288,-1.448241,4.045693,-4.61001,-0.082602,-1.367208,0.788301,2.267732,2.390608,-1.430806,1.415977,1.261256,2.03146,0.661202,-0.396421,0.932526,0.509678,0.68266,0.955723,-4.288401,0.898434,-2.201384,-2.303227,2.464621,0.297168,2.165803,0.913656,0.06261,3.2182,2.293049,0.669668,0.927952,1.710792,1.36579,4.119055,-0.308584,0.176266,-1.184757,-1.153872,-2.764125,-4.348365,-3.045717,-1.928907,2.166967,0.127204,1.14208,-0.833974,1.655813,0.782151,1.578159,2.041356,-1.406614,-4.339374,3.952351,-2.609513,0.194885,-0.862723,-0.357325,1.671448,-0.06784,-5.396245,-0.322409,-0.124538,-0.667073,1.379151,1.179765,-4.068538,0.652322,3.829663,-0.281932,-2.26042,0.341499,-1.658845,-1.240247,2.848373,2.38003,1.90174,0.225786,0.062483,2.435212,-2.445265,-0.262221,2.003043,-0.067364,-2.630251,2.588248,-0.127816,1.906256,0.307465,-1.483094,-1.396939,4.74911,-3.321376,-0.581152,4.364372,0.704802,-3.081793,1.679248,1.288952,-0.517935,-1.512607,-1.199726,-5.5657,4.02109,-2.888732,-0.043668,-3.243167,-0.230781,2.30243,3.747257,2.315314,3.59807,-1.770672,2.840006,-0.805469,4.446085,4.527028,-2.354506,4.911074,-0.110333,2.950359,0.776863,2.462521,-3.215529,2.589418,2.824117,1.810285,-3.316729,0.199164,2.163939,2.087552,-0.522318,-0.121174,-4.749943,2.729437,3.870836,3.456753,2.227484,4.554552,3.199923,4.142278,1.702559,1.800288,-2.596371,1.944134,1.46196,3.8469,2.987794,-1.134034,5.596561,6.201639,1.418635,2.334423,2.940744,4.484372,4.32674,3.427402,3.36995,4.34811,0.416562,1.023852,3.670906,1.170575,3.042919,1.31681,1.05291,1.790843,2.977623,2.194922,1.077238,5.013045,1.634298,-5.158263,-3.789242,-2.062639,-2.519972,-4.990347,-3.373749,-5.026922,-3.899775,-3.225981,-1.349049
5,0.008756,-0.462592,-0.474667,-0.806412,0.550577,-0.583813,1.900317,1.730882,-3.15666,2.070287,0.446854,-4.235396,-4.74039,0.514481,1.740693,-0.551352,-0.66025,-1.98227,-0.960359,-0.922755,4.310224,2.802032,-0.974616,3.93876,-4.170192,0.215834,-1.33796,1.518636,2.747133,1.372088,-1.329368,1.628248,1.265309,2.017846,1.269344,0.530384,1.151719,1.491068,0.685191,0.850927,-2.764641,0.989638,-2.177148,-2.101764,2.592144,0.035994,2.511322,1.346609,-0.846863,3.71874,2.229982,0.879574,2.04823,1.861682,1.130771,3.964367,-0.204604,-0.695704,-0.28683,-1.050695,-2.608226,-4.650622,-2.793646,-2.645757,1.989403,0.762261,1.451262,-0.438707,1.808269,0.420462,1.285278,2.187076,-1.991598,-5.861008,3.536554,-2.278311,0.194249,0.682638,0.257106,1.867067,0.379768,-5.851161,0.065496,0.159545,-1.442819,2.28308,0.212176,-4.26201,0.917933,3.540171,0.115779,-1.915071,0.487801,-1.569646,-1.633054,3.703641,2.779867,2.041134,0.437462,0.134279,2.287782,-1.921156,0.219623,2.51295,-0.713159,-2.779251,3.250122,-0.359723,2.088301,0.342882,-0.740685,-1.348837,5.382367,-2.975626,-0.39669,3.935157,0.701904,-3.13749,2.134301,1.374305,-1.224257,-0.712037,-0.369474,-4.997975,3.840545,-3.332599,0.669299,-2.461838,-0.936227,2.437419,2.475042,1.960217,4.464307,-2.880009,3.052031,-1.057024,4.753492,4.679711,-1.596883,4.456339,-1.193622,2.948084,0.631712,3.135314,-3.533714,2.83511,2.273681,1.974658,-3.912794,0.571963,2.477917,1.143968,-0.090694,-0.04331,-4.71347,2.635428,4.017612,4.007866,2.951237,5.236937,2.700848,4.056744,1.527277,2.114619,-2.660242,2.728026,1.124174,3.969052,3.764693,-1.163685,6.488423,6.900181,2.095953,2.19463,3.072227,5.3543,3.913124,2.913899,3.140925,3.742151,0.157519,0.458223,4.306429,1.214011,3.020622,1.918119,1.234334,3.097354,1.834975,1.928788,0.224127,6.233983,0.715054,-5.748601,-4.32036,-2.257177,-0.984627,-6.911989,-2.610107,-7.029925,-2.850034,-2.750143,-0.579733
6,0.020146,-0.585477,-0.460795,-1.393258,0.128213,-0.763217,1.933019,1.415046,-3.054655,1.580279,0.828256,-3.392074,-4.751205,0.370175,1.50371,-0.903678,0.517974,-2.739926,-1.014172,-1.101499,4.315011,2.717154,-1.47888,3.761631,-4.133786,-0.091731,-1.073658,0.961326,2.471221,1.961624,-1.561733,1.668088,1.646173,2.220546,1.396613,0.290603,0.953087,1.093946,0.529954,0.693389,-3.663737,0.867886,-2.113775,-1.991341,2.307984,0.289755,2.150201,1.370285,-0.070216,3.670123,2.093789,0.907102,1.315785,1.817166,1.014677,3.812268,-0.374487,-0.458566,-0.685928,-1.515616,-2.554271,-3.546198,-2.248931,-2.320463,1.795934,0.920802,1.120671,-0.030866,1.767529,0.619689,1.429783,2.096956,-1.114253,-4.502913,3.518262,-2.236648,0.128386,-0.328451,0.072011,1.601268,0.437551,-4.963738,-0.515021,0.479891,-1.057415,1.910825,0.452854,-4.102993,1.082339,3.417485,-0.3553,-2.135713,0.62024,-1.238399,-0.925283,3.351247,3.013651,1.959422,0.62199,-0.441086,2.137157,-2.57952,0.624523,2.266809,-0.651959,-2.614992,2.82896,0.101945,1.822419,-0.069604,-1.347548,-1.110182,5.083272,-2.585243,-0.188661,4.041655,0.834529,-3.033851,1.826857,1.478525,-0.679195,-0.796783,-0.18659,-5.89733,3.930294,-2.592432,0.003288,-2.832969,-0.583568,2.41568,3.004439,1.969446,4.135777,-2.561662,3.098292,-1.103016,4.664248,4.235777,-1.555647,4.336517,-0.766527,2.598377,0.669724,3.058345,-3.279143,2.780932,2.298164,2.074135,-3.604424,1.008064,2.178388,1.489718,0.320209,0.191518,-4.665959,2.370162,4.065798,3.897138,2.21997,4.952842,2.749421,4.116522,1.314888,1.702665,-2.816912,2.673997,0.873109,3.771366,3.678122,-1.106788,6.297439,6.359675,2.08684,2.024504,2.881295,4.59235,4.441394,2.642658,3.001111,3.506913,0.715275,0.449818,4.062415,1.107919,2.885622,2.143595,1.41175,2.334082,2.425601,1.950877,0.36048,5.75094,0.912682,-5.305161,-3.455842,-1.898171,-2.046438,-6.178599,-3.356345,-6.403543,-2.220644,-3.590165,-1.240479
7,0.045201,-0.420313,-0.692214,-0.775191,0.442695,-1.06528,1.788533,1.437998,-3.096398,1.354358,0.74643,-4.476445,-5.462342,0.133467,1.201461,-0.519953,0.260112,-2.932499,-0.977336,-0.873693,4.071087,2.83893,-0.684213,3.741218,-3.914593,0.137586,-1.178677,0.817694,2.022198,2.036464,-1.436449,1.327245,1.459893,1.768023,0.709065,0.129242,1.126767,0.866987,1.094211,1.013639,-3.466118,0.72518,-2.173302,-2.369016,2.495643,0.284588,2.471278,1.536866,0.458576,3.486395,2.358474,0.535544,1.320072,1.496429,1.302413,3.58339,-0.03254,0.208039,-0.977834,-1.208646,-2.606619,-4.569006,-2.818381,-2.114046,1.980716,-0.028759,1.369933,-0.879214,1.760023,0.690791,1.502224,2.065808,-1.386642,-4.483475,3.781424,-2.544378,0.187645,-0.527707,-0.05485,1.669478,0.277891,-5.502585,-0.285364,0.24534,-1.003188,1.519153,0.875485,-3.876185,0.888414,3.519121,-0.136937,-2.194175,0.882186,-1.376504,-1.252243,3.0557,2.465275,1.817732,0.091512,0.199254,2.431118,-2.600893,0.228507,2.130884,0.109577,-2.618336,2.51936,-0.170811,1.801786,0.542809,-0.867507,-1.81106,4.790967,-3.299088,-0.273475,3.988552,0.421274,-3.104994,1.690938,1.411161,-0.677682,-1.009309,-0.741677,-5.205225,3.462361,-2.85862,-0.241297,-3.192191,-0.271446,2.208154,3.367149,1.855275,4.046939,-1.804173,2.83059,-0.954751,4.520464,4.254636,-1.688181,4.547712,-0.340863,2.815487,0.752603,2.894325,-3.463882,2.873318,2.400012,1.812397,-3.666905,0.558904,2.126819,1.138121,0.167192,-0.248106,-4.562344,2.448811,4.172329,3.627041,2.384572,4.515774,2.864354,4.077027,1.179208,1.93016,-2.850643,2.319898,0.717913,3.921865,3.368635,-0.55812,6.106357,6.189425,1.612705,1.891662,3.272101,4.697062,4.376216,3.083369,3.291009,3.956045,0.341191,0.789518,4.057552,1.524869,3.187665,1.668145,1.485154,2.37698,2.703694,2.336131,0.601202,5.365355,1.255719,-5.194666,-4.272176,-1.947183,-2.131728,-6.145913,-2.750823,-5.456292,-2.685655,-3.549605,-1.155012
8,0.030499,-1.098098,-0.653021,-1.101569,0.669402,-1.283435,1.85394,1.120306,-3.086893,2.037515,0.587659,-4.844029,-4.931025,0.494056,1.382778,-0.664703,0.616911,-1.834515,-0.667299,-0.965946,4.202785,2.820279,-0.865581,3.852776,-3.91465,0.45029,-1.226359,1.254119,2.522053,1.610988,-2.06274,1.650012,1.219093,2.413411,1.611589,0.128727,0.75248,0.469399,0.563688,1.146874,-3.777575,1.082741,-2.162897,-1.739162,2.583282,0.637675,2.295336,1.048242,-0.377876,3.411515,2.293203,1.409148,1.840149,2.108967,1.02542,4.083893,0.242465,-0.280235,-0.995079,-0.990353,-2.67081,-4.656893,-3.257583,-1.804529,2.126974,0.679113,1.376818,-0.21554,1.813843,0.776915,1.215359,2.294225,-1.373761,-4.977507,3.815996,-2.055196,0.077784,-0.212438,-0.035664,1.615114,0.209374,-5.38618,0.449688,-0.084139,-1.1458,1.927236,0.600802,-4.265947,0.135212,3.884123,0.286319,-2.270317,0.543114,-0.932302,-1.616743,3.463298,2.503775,1.75666,0.188393,0.352436,2.365048,-1.998357,0.389343,2.631057,-0.229452,-2.665827,3.079841,1.31262,1.971953,0.228004,-2.19379,-0.966661,4.910466,-3.82326,-0.180687,3.960916,0.826981,-2.678063,1.863913,1.503132,-0.71015,-0.975556,-0.483563,-6.140725,3.809981,-3.152122,0.610765,-2.883442,-0.331686,2.101921,2.724828,1.921817,4.378481,-2.516299,2.718406,-0.186667,4.817044,5.168935,-1.743494,4.736257,-0.746723,3.277868,0.412615,2.610294,-3.45961,3.061362,2.026229,2.368957,-3.338761,0.211546,2.978446,0.915161,-0.17996,0.134967,-4.679329,2.917311,4.254615,3.805326,3.456535,4.767343,3.28693,4.233125,1.484679,2.274054,-2.208001,2.503105,1.282979,3.969415,3.536614,-0.993376,5.814352,7.14272,2.216634,2.169098,3.042791,5.767951,3.77799,3.124728,3.421019,3.944667,-0.176171,0.839421,4.129542,1.674388,3.019917,1.895699,1.130644,2.647412,2.066772,1.965338,0.269498,5.969932,1.1041,-6.22305,-4.728096,-1.920075,-0.792958,-7.282412,-2.278522,-6.345761,-3.755569,-2.855621,-0.822009
9,0.025837,-0.486197,-0.62952,-1.025401,0.564904,-0.937313,2.179058,1.362461,-3.087801,1.482335,0.581711,-4.28092,-5.439972,0.659673,1.257614,-0.73027,-0.258412,-2.389685,-0.868167,-1.004112,4.281551,2.849143,-1.062487,3.806287,-4.22546,0.154655,-0.615893,1.053863,2.163944,1.565878,-1.770165,1.541816,1.55722,2.042568,1.347702,0.626819,1.131142,1.214309,1.103375,0.98267,-3.147178,1.022965,-2.123025,-1.6357,2.4748,0.236211,2.577734,1.322208,-0.096063,3.571591,2.396009,0.878942,1.371777,1.992034,1.317437,3.812734,-0.06885,0.023505,-0.758076,-1.372418,-2.600638,-4.514489,-2.801073,-2.054941,2.101806,0.538155,1.340669,-0.98312,1.812158,0.680691,1.24694,2.033381,-1.847627,-4.935673,3.681767,-2.18876,0.223544,-0.26133,-0.029141,1.917083,0.481058,-5.94208,-0.331314,0.178112,-1.149958,2.230017,0.592328,-3.781163,0.801231,3.610917,-0.005209,-2.011225,0.892206,-1.386406,-1.134937,3.589448,2.556456,1.762504,0.351182,0.006383,2.413073,-2.673769,0.126511,1.962086,-0.480371,-2.709418,2.951941,0.432467,2.143149,0.529664,-1.43347,-1.582349,5.032143,-3.31716,-0.101085,3.881899,0.616984,-2.860314,1.630859,1.366123,-0.605746,-1.005957,-0.727802,-5.70781,3.43961,-3.064641,0.378183,-3.130349,-0.616975,2.201744,2.930889,2.235567,3.848989,-2.610657,2.774016,-0.525416,4.830301,4.572505,-1.898,4.842887,-0.541132,3.160995,0.493995,2.86041,-3.351397,2.815132,2.261631,2.069705,-3.346392,0.547182,2.483648,1.192363,-0.240131,0.26118,-4.599558,2.534609,4.314507,3.5609,2.679873,5.013685,2.935019,4.392955,1.568167,2.062184,-2.731858,2.728585,0.888787,3.699699,3.064044,-0.326283,6.343043,6.532481,2.082295,2.271896,3.155531,4.902903,3.96033,3.373257,3.146197,4.196167,0.399301,0.854712,3.69629,1.420834,3.030366,1.794505,1.439415,2.495742,2.121756,1.918579,0.558504,5.777647,1.347097,-6.136626,-4.032996,-1.96881,-1.825894,-5.948227,-2.589406,-6.095774,-2.992318,-2.820596,-1.556804
