,hidden_0_n0,hidden_0_n1,hidden_0_n2,hidden_0_n3,hidden_0_n4,hidden_0_n5,hidden_0_n6,hidden_0_n7,hidden_0_n8,hidden_0_n9,hidden_0_n10,hidden_0_n11,hidden_0_n12,hidden_0_n13,hidden_0_n14,hidden_0_n15,hidden_0_n16,hidden_0_n17,hidden_0_n18,hidden_0_n19,hidden_0_n20,hidden_0_n21,hidden_0_n22,hidden_0_n23,hidden_0_n24,hidden_0_n25,hidden_0_n26,hidden_0_n27,hidden_0_n28,hidden_0_n29,hidden_0_n30,hidden_0_n31,hidden_0_n32,hidden_0_n33,hidden_0_n34,hidden_0_n35,hidden_0_n36,hidden_0_n37,hidden_0_n38,hidden_0_n39,hidden_0_n40,hidden_0_n41,hidden_0_n42,hidden_0_n43,hidden_0_n44,hidden_0_n45,hidden_0_n46,hidden_0_n47,hidden_0_n48,hidden_0_n49,hidden_0_n50,hidden_0_n51,hidden_0_n52,hidden_0_n53,hidden_0_n54,hidden_0_n55,hidden_0_n56,hidden_0_n57,hidden_0_n58,hidden_0_n59,hidden_0_n60,hidden_0_n61,hidden_0_n62,hidden_0_n63,hidden_0_n64,hidden_0_n65,hidden_0_n66,hidden_0_n67,hidden_0_n68,hidden_0_n69,hidden_0_n70,hidden_0_n71,hidden_0_n72,hidden_0_n73,hidden_0_n74,hidden_0_n75,hidden_0_n76,hidden_0_n77,hidden_0_n78,hidden_0_n79,hidden_0_n80,hidden_0_n81,hidden_0_n82,hidden_0_n83,hidden_0_n84,hidden_0_n85,hidden_0_n86,hidden_0_n87,hidden_0_n88,hidden_0_n89,hidden_0_n90,hidden_0_n91,hidden_0_n92,hidden_0_n93,hidden_0_n94,hidden_0_n95,hidden_0_n96,hidden_0_n97,hidden_0_n98,hidden_0_n99,hidden_0_n100,hidden_0_n101,hidden_0_n102,hidden_0_n103,hidden_0_n104,hidden_0_n105,hidden_0_n106,hidden_0_n107,hidden_0_n108,hidden_0_n109,hidden_0_n110,hidden_0_n111,hidden_0_n112,hidden_0_n113,hidden_0_n114,hidden_0_n115,hidden_0_n116,hidden_0_n117,hidden_0_n118,hidden_0_n119,hidden_0_n120,hidden_0_n121,hidden_0_n122,hidden_0_n123,hidden_0_n124,hidden_0_n125,hidden_0_n126,hidden_0_n127,hidden_1_n0,hidden_1_n1,hidden_1_n2,hidden_1_n3,hidden_1_n4,hidden_1_n5,hidden_1_n6,hidden_1_n7,hidden_1_n8,hidden_1_n9,hidden_1_n10,hidden_1_n11,hidden_1_n12,hidden_1_n13,hidden_1_n14,hidden_1_n15,hidden_1_n16,hidden_1_n17,hidden_1_n18,hidden_1_n19,hidden_1_n20,hidden_1_n21,hidden_1_n22,hidden_1_n23,hidden_1_n24,hidden_1_n25,hidden_1_n26,hidden_1_n27,hidden_1_n28,hidden_1_n29,hidden_1_n30,hidden_1_n31,hidden_1_n32,hidden_1_n33,hidden_1_n34,hidden_1_n35,hidden_1_n36,hidden_1_n37,hidden_1_n38,hidden_1_n39,hidden_1_n40,hidden_1_n41,hidden_1_n42,hidden_1_n43,hidden_1_n44,hidden_1_n45,hidden_1_n46,hidden_1_n47,hidden_1_n48,hidden_1_n49,hidden_1_n50,hidden_1_n51,hidden_1_n52,hidden_1_n53,hidden_1_n54,hidden_1_n55,hidden_1_n56,hidden_1_n57,hidden_1_n58,hidden_1_n59,hidden_1_n60,hidden_1_n61,hidden_1_n62,hidden_1_n63
hidden_0_n0,0.0,4.73704,1.7375234,0.77413833,3.035538,2.1476617,0.91980696,1.6947768,1.709462,1.1439198,3.1640768,0.9555651,0.29998296,2.5382576,0.08528206,3.1565976,0.14826219,0.05106728,0.67087024,1.9040366,0.6100085,1.886026,4.177255,1.1528839,0.6527101,0.429034,0.37121382,1.8623095,0.7802612,1.6963607,3.3624887,1.360564,0.1668998,1.1316686,1.9998562,0.9491323,1.4753318,2.4889152,1.5126791,2.9010913,0.67929876,0.35970092,0.5821539,1.6821529,0.5004629,1.6238167,1.0437626,1.1208299,1.5498363,0.3286487,0.005257,1.4071558,0.37245944,1.1157933,4.8305707,0.59627455,0.5402578,4.1194186,1.1074549,4.664537,1.4885397,2.015714,0.4910713,5.8465075,1.12163,2.5260155,1.1361971,0.42574242,0.44226745,0.82534593,0.5969323,1.2915471,0.59392893,1.2060517,0.42141432,1.6675715,0.5870622,0.5174846,0.17735554,2.0501077,0.6587207,2.3833957,0.38080066,0.8281858,0.48960355,1.0252109,2.2141125,1.6210823,0.848863,1.7131845,1.6807983,0.9526388,0.15627396,0.49123254,1.3440362,0.9231211,3.087461,0.5813152,1.1385999,0.9837715,0.2863557,1.315568,0.95602524,0.2089927,1.4385754,0.63457364,0.9174615,0.55702037,0.55361766,4.1990943,3.1328402,2.0301285,2.623225,3.843079,3.250287,0.54955435,0.26007965,1.3812045,0.07774588,0.3601232,1.5635144,1.2841711,2.6805289,2.8415303,0.4075169,0.49172086,1.3610396,2.4190211,0.4922227,0.3938948,1.4590244,0.42670074,0.34653607,1.699571,0.114555985,2.2139828,8.171075,0.23796582,3.1266072,0.35244548,0.5873127,0.6295088,1.4805647,2.909025,1.356635,0.45500872,0.38162178,0.8721529,1.9151435,1.0851859,0.43046844,2.869437,1.1263199,0.5120766,0.6188044,1.7456536,0.24060096,1.3921303,0.6858569,0.6429294,0.3097314,0.2722741,0.4416545,0.26235896,4.6834955,1.0160599,2.8768432,0.41008994,0.7923409,4.369403,2.76909,0.7332334,2.0350246,1.1079986,4.079087,0.66339827,0.4334795,0.5536218,0.40683788,3.9496655,0.34047833,0.09604306,1.5583442,0.34132996,6.2129583,0.45397905,2.4981267,0.6197377,0.2620331,0.8805183,0.30008593,0.19134201
hidden_0_n1,0.5187668,0.0,2.329745,0.11700513,0.5745056,0.39763457,0.790427,0.17335193,0.27577266,0.9169853,2.8471763,0.16219091,1.0221955,0.6204274,3.2964396,0.056143995,1.2823523,2.2790887,0.25698227,0.3928723,0.52024466,0.86100036,1.144818,0.19357754,0.6033323,1.2401812,1.0054446,1.3000057,0.54267436,0.22328094,0.100423105,1.5016139,0.666661,0.91945034,0.85267323,0.93204844,0.17303059,0.41535005,0.69985116,0.78201026,0.78842765,0.9880629,0.5263318,1.1526253,2.872576,0.5728567,0.097245425,0.21977584,0.837982,1.6066225,0.70997673,0.34146652,0.4287176,3.2450318,1.0608097,0.705572,1.9914899,0.6125419,1.9228934,0.109538615,0.26961753,2.9886105,0.8598126,0.85608107,1.8126241,1.4905044,0.5263293,0.5212467,0.6095515,0.21223758,0.09364596,0.40577814,0.38124517,1.711615,0.42300612,0.3659163,0.31821537,0.50206316,1.0289285,0.16626272,0.47193083,0.3706441,0.8572305,1.0886066,0.45854378,0.62949705,0.5898343,0.47578204,0.12988159,0.6529222,0.3947272,0.24735087,0.37452504,0.12558967,0.32738966,2.2305572,0.15332471,1.5032017,3.24519,1.4773595,0.4259754,1.7102735,0.6386208,2.1183794,0.7375455,1.8770236,1.3243536,0.3428454,2.3113792,0.07871892,0.107930474,0.8544524,0.43788376,0.30597094,0.52715164,0.905355,0.75997716,0.5556422,0.14198764,0.7850212,0.47270343,0.38071617,0.8566627,0.85053176,0.40151075,0.247689,0.5192201,2.4478807,2.5952673,1.1785219,0.6385405,2.067669,2.7424836,1.3227222,1.9828235,1.979309,0.34090808,0.14037305,0.5614873,3.2559724,0.3088636,0.20079665,0.24902616,0.24360032,0.46020147,0.15301226,1.1954126,1.8761452,0.8899346,2.0747979,0.1898443,0.46780798,0.112789005,0.11813346,0.6523091,0.28185323,1.4002503,1.7719638,1.3836586,0.16414139,1.0528507,0.08131921,0.75796926,0.25205475,0.3564734,0.25065568,0.8784078,4.622495,2.2708166,0.368056,1.1485499,0.31163478,0.625177,0.8695298,0.72424036,0.19281599,3.4491076,0.54660404,3.5311375,0.94053215,1.9923128,2.8666584,1.5494841,0.9510229,0.18631402,0.20985557,1.1310811,0.82605535,1.0208133,0.95539397,2.0940907,0.65541065
hidden_0_n2,0.78531367,2.7855005,0.0,0.65043944,1.9187194,1.6872869,1.069743,0.32571366,0.49657062,1.7599621,2.4264271,0.12589157,0.6734255,0.71886903,0.49253896,2.4815824,0.9293424,0.5032867,0.27785686,0.6755862,0.3651546,0.19896586,0.98104864,0.34170735,0.7606058,2.8829496,1.037377,0.5075273,2.0159376,0.0643355,0.21349865,0.9019359,1.1138673,0.56816,2.0747766,0.25272787,1.3836712,0.49138534,0.3639721,1.1052072,0.25568515,0.7145793,1.4191045,2.1345718,0.1769138,0.65103626,1.7580706,0.7634132,0.68296224,0.6070258,1.2133474,0.3148409,0.78304857,0.95103,0.69719493,0.009432918,0.94879436,2.1747112,1.5324385,2.6519935,1.1112,0.3150293,1.2333473,1.4860302,1.5710857,0.19645184,0.01746512,1.3934606,0.45855567,1.3615222,0.5405279,1.0404409,0.582312,1.7165248,0.5293303,0.9169653,0.27463683,0.071283616,0.4453486,0.5056846,0.42662603,1.6529588,0.903318,0.9615647,2.3872216,1.6473216,0.62228286,0.5533324,1.2051978,0.76630044,0.43930718,0.069997124,0.32176217,0.7633524,1.9034007,2.4457858,0.8524998,2.10391,0.7662631,2.6417093,0.43451107,1.672674,0.5431283,1.3414943,1.0558467,1.9383539,0.2743928,1.3842655,0.18443562,0.36024928,0.4634855,1.2085706,1.0567222,0.86296034,0.4101489,0.44707713,0.15635426,0.07077365,0.22354463,2.266395,0.45591116,0.7980821,0.4032963,0.7166726,1.1007453,1.6034106,1.3863919,2.2202082,0.15228143,1.5365664,0.26652175,0.78594637,1.4572926,1.125469,1.5379182,1.3542556,1.9536501,0.8961208,1.3907567,0.86691505,2.3531163,0.44656318,1.5711633,0.8096815,0.39721954,1.0098078,0.5929741,0.14567788,1.8837872,0.33633804,0.120149784,1.1787488,0.41404268,1.2564411,1.3133438,2.7300198,1.2454604,2.1978822,1.4072508,0.5778263,0.2510409,0.4855868,2.8568995,1.557029,1.313876,0.55245376,2.6044142,0.702581,1.000243,1.5657828,0.9967786,0.9345378,1.1597545,0.111997046,2.8693566,1.3140304,0.18358164,1.5453671,0.9562398,2.1710742,0.23045394,0.8597658,1.2451051,0.14724024,2.296456,0.42518124,1.2864938,1.7749369,0.7529289,0.6009783,1.0009997,0.37665862
hidden_0_n3,0.28319773,1.0942304,0.27214846,0.0,0.40635535,1.0892713,0.19782904,2.393043,0.06669752,0.1932516,0.41739267,0.059729245,0.46413028,0.095067315,0.27691868,0.37045562,0.5067999,0.14051858,1.6823945,0.15718517,0.72267514,0.79331636,1.8575723,0.038447447,0.03053467,1.3118416,0.20492247,0.8258779,0.9232474,0.3757962,0.37742105,0.41797212,0.35421133,0.77932316,1.0494035,3.3279908,0.60037065,0.35939053,0.6362052,0.59704936,0.20629528,1.4434202,0.52910507,0.27346078,0.0048021697,1.6949645,0.58973384,0.29424173,0.9149013,0.9665765,0.556358,0.7254617,0.176593,0.4602933,1.5952877,0.65971845,0.14929897,1.2290677,0.4920678,1.128988,0.19451618,0.64550877,0.20434704,1.1410161,0.6344538,1.0919338,0.44298905,0.83882475,1.3678977,1.6557727,0.6450067,0.4300541,0.8680155,0.35498014,0.35332686,0.4214104,0.99804574,0.15391299,0.6174159,1.4027141,1.7848449,0.15015315,0.58525264,0.6883982,0.7548335,0.8200149,0.59163576,2.3263028,0.64354306,0.2883446,1.16596,0.60660017,2.0313094,1.7783321,2.8419344,1.443536,0.32163697,0.49679792,0.21778221,0.2850515,0.4037322,0.43816972,0.9001847,0.12013494,0.8406465,0.14127392,0.3231713,0.45028427,0.42720664,0.1847029,0.7404334,2.130087,0.6107523,0.52732724,1.0338799,0.46062183,0.0905327,0.5728801,0.99270064,0.89774203,1.2711617,1.1047997,0.17686245,0.3049956,0.54178095,0.043609805,0.57739705,3.2377915,0.45499256,0.5150734,1.3572223,0.2678792,0.85729194,0.52064997,0.059093762,0.24294624,1.915989,0.22401574,0.28262362,0.9462302,0.13768536,0.006305398,1.2122694,0.12668051,2.686973,1.88984,0.994784,0.12352765,0.7995342,1.0030628,0.9557434,1.0049598,0.56552887,2.3073585,0.58917516,0.77141076,0.35035893,0.20414953,0.37632293,0.04468264,1.2188665,0.19051982,1.9552923,0.06023723,1.7640437,0.59029025,2.2632306,0.21014833,0.8616791,2.7395327,1.8999773,0.43939236,1.7782506,0.51960415,0.41072953,0.18956521,0.42746472,1.1772425,0.26975212,0.6859924,0.36017546,0.31937915,2.2119732,0.75076383,1.5859934,0.29825148,0.9931192,0.79659873,0.15542707,0.16507393,0.92095953,0.26378083
hidden_0_n4,0.46056387,0.4771438,0.160539,0.6721675,0.0,0.3176722,0.09774145,0.59068596,0.56462806,0.45117074,0.9039554,0.47551298,2.1894505,0.22495888,2.8921769,1.8072938,1.0832368,1.8221961,0.11159558,0.576692,0.2521596,0.07063934,0.5697943,1.6275858,0.7811779,1.0726544,1.6195446,0.6415211,0.13702554,1.039782,0.56447726,0.3491368,1.2323881,0.549314,0.7117981,1.0811446,1.2412695,0.24804685,1.1219907,0.39952287,0.09920196,0.58940285,0.7454234,1.0716,2.0560124,0.4962336,1.5229512,1.3414507,0.13675927,0.6379745,0.75125325,0.8997311,0.029882666,0.36931875,0.23534141,1.4433976,0.23441803,0.811925,2.9540532,0.21342939,0.27474183,0.69175386,0.0624501,0.81314445,1.4184498,1.4742868,0.14998834,0.97123384,1.133304,2.3112588,1.6704865,0.6757182,0.2538404,1.8791614,1.1694825,0.3806278,0.34416142,1.7321345,0.7940324,0.9241687,0.08455495,0.71425897,0.103555135,0.39400548,0.6212197,0.16615006,0.13235423,0.42875654,0.49345383,1.5060567,1.8579024,0.711817,1.1198764,1.111633,0.7588024,0.22466004,0.34280676,1.8426787,0.4845339,1.4288857,0.6368104,1.5714749,0.55763185,1.2519199,0.56073624,2.4733043,1.0977882,0.8288765,1.2416072,0.20782764,0.8180959,0.31500632,0.3578292,0.6656361,0.5372392,0.32711455,1.1846559,0.9847932,0.30352014,0.5987648,0.67928565,0.4870657,0.8578006,0.6310936,0.4748946,2.1000454,0.19509283,0.8710722,0.83330894,0.14348917,0.5346015,1.1629194,1.2324941,0.5846197,1.2119569,0.7547467,1.4514941,0.69403803,2.6285958,0.15890378,1.6937629,0.091658995,1.4671918,1.5062994,0.41676536,0.55972856,0.61507344,0.62535095,2.4426556,0.7768302,1.156133,0.7524155,0.4898945,0.89020616,0.98157424,0.8532552,1.2594777,1.5659517,0.6176891,0.47675705,1.2896445,0.5370679,0.47044465,0.7736634,0.067439355,0.17072093,1.2134821,1.4396107,0.23127699,0.53356624,1.6115265,1.2024065,0.7594903,0.6416859,1.3553698,1.2472413,1.4191035,0.41565776,1.253768,2.0973513,0.44900274,0.53619057,0.6338399,0.6629645,0.3830453,0.61498624,0.46849445,0.24789715,0.038734727,0.06330113,0.9149761,0.8932205
hidden_0_n5,0.37421632,1.0782547,0.61466306,0.35130706,2.317659,0.0,0.5395426,0.23029844,1.1237767,0.07729384,1.8265629,1.6959394,0.74568343,0.92732024,2.3722181,0.23560311,2.2789083,0.85505813,0.13965914,2.0026965,0.26513606,1.2849823,1.1860418,1.1845003,0.72364455,2.4713066,0.7515549,0.3752899,0.59659463,1.0125118,0.49023175,1.9602671,0.10464563,1.3475121,0.7605515,0.13492812,0.15354562,0.41270477,1.9832965,0.25144,1.304487,0.23999792,0.44157633,0.40240967,1.0339803,0.92381716,1.0270827,1.2873561,0.8610306,1.5018843,0.9081247,0.65037096,0.64855766,1.4350407,0.51745135,0.31410956,1.8105615,1.0404791,1.155063,0.9116691,0.4557338,1.39936,1.290752,0.82032156,2.2477365,0.20395985,2.240447,0.44757807,1.0532807,1.2603439,2.2038586,1.0143591,0.54768455,0.94673073,0.22881582,1.8975035,0.56474066,0.51222837,0.6543282,0.8676092,2.251747,2.0245533,0.870246,2.010851,0.5248938,0.69461477,0.18949834,0.71322966,0.5133211,0.38476336,0.2451039,1.2910637,0.41526404,0.06165895,0.3640759,2.2800727,0.46005955,1.4935669,0.578292,0.8545759,1.3303446,4.923989,0.48467293,1.6395012,1.2232022,2.6098595,1.1814072,0.860587,1.8821002,0.7713866,0.5840564,0.6208034,0.5470378,0.7307671,1.1909249,0.8806193,0.35751817,0.85529584,1.8388982,1.169192,1.1366168,2.132497,0.24887106,0.07716288,0.3531656,1.3316569,0.9595288,1.0659244,0.90958375,0.8066707,0.42137778,1.5000279,1.0529947,0.61413276,2.571878,0.61211574,1.5044798,0.3350539,0.36561826,1.1891425,2.2961054,0.11918346,0.9013469,0.3228724,0.40420416,1.7435619,0.5356857,0.88459134,0.8734367,1.9546611,0.16472551,0.9666601,1.112879,0.4036747,0.85055083,2.3390565,1.7824081,3.5431561,1.0732244,0.5772194,0.4254635,0.2964211,3.1007879,0.8116404,0.4811688,1.9126415,1.8842179,1.1585449,1.0495446,1.738464,1.1062554,1.8102981,0.30780217,0.27393928,3.1597886,1.503778,0.13771077,1.2272521,0.28390968,1.7833363,1.1580418,2.6039996,1.7021523,0.2675825,0.5938651,0.837802,0.9343131,0.6871673,0.51532716,1.2937437,0.94357073,0.5151823
hidden_0_n6,1.1311655,0.6744447,0.5038219,0.8127462,0.08607566,0.067110844,0.0,0.35167173,0.3061732,0.6857336,1.8827889,0.9934427,1.0290378,0.6052329,1.1149228,0.51028013,2.873135,1.0780339,1.3326902,0.48545116,1.4547216,0.1865977,2.1488225,0.66903937,2.533854,1.1844591,2.0341163,0.49221876,0.5218242,0.5790803,0.82044923,2.921853,1.3570472,0.90735435,0.21554169,3.180852,0.67059857,1.1780981,1.7031122,0.15272084,3.9233656,0.59207565,0.3187453,0.7066876,2.3477032,0.8421708,0.13520946,1.4077098,1.4509383,0.9133599,2.457244,0.3967058,4.607158,0.9923113,2.8429239,0.14104576,1.076962,0.7359437,0.39961654,0.5907018,0.25185463,2.5343473,1.9518766,3.4682765,0.5282664,0.80567044,0.6855168,0.20671242,2.219872,0.2845812,0.34226295,0.89561576,0.21398278,2.5498135,1.7750523,0.9771408,0.08500487,0.32870573,1.1188048,1.321325,1.193025,2.763591,1.866135,0.8003738,0.5612078,0.46601373,0.1370147,1.9540893,0.82881165,1.0796208,0.39131922,1.0001273,1.2102392,0.072957985,1.1174773,1.092468,0.32054266,1.2366205,0.69330454,0.6939584,1.0973414,1.590764,0.23476121,0.5862569,0.20862852,0.9509211,2.2921462,1.9143804,0.9237293,2.4160721,0.26292902,0.48021477,2.2851756,1.975913,1.1048782,0.33125925,0.82879525,0.2427723,0.872259,1.0202683,0.55419755,1.1306211,2.0053353,0.16190255,0.42710605,2.9749131,1.3144878,1.1088735,1.646835,0.036695454,0.4403863,0.8591906,0.35703564,1.8358661,3.1802235,2.6041195,2.5865982,0.6759208,0.90214753,0.6676675,3.0547307,1.319796,0.65223867,0.36067775,0.048813067,1.5429454,3.6380875,1.4454503,0.2880515,2.5265863,0.6412335,3.295651,0.33834314,0.8950888,3.9854248,3.5669708,0.4990975,3.3223996,0.09322353,1.2966543,1.5025297,0.20743151,0.64646786,1.1740373,0.09737618,1.569827,1.7560897,2.5076003,0.24153517,0.7278237,2.2038052,0.6040488,0.42113334,1.0769007,1.672628,1.4054726,0.7755382,3.2447786,1.3424877,1.8064659,0.6177584,1.9778538,1.8831873,0.7049611,0.8877649,2.0323899,0.5968524,0.12558211,1.9121476,0.8839481,0.83491546,0.3093315
hidden_0_n7,1.2038232,0.566363,0.1178203,0.87025136,0.52886117,0.5432428,0.6498633,0.0,1.6097151,0.25572133,0.5159303,1.8112848,1.3320471,1.6825178,3.143657,0.70667446,3.405691,0.35558796,0.041319035,0.5990225,0.43623695,0.45329,0.22557782,0.98464894,1.0241303,1.1872636,0.69230473,0.9355988,0.8667173,0.41066185,0.8021386,2.305072,2.6897848,2.0068195,0.14670822,2.5138166,0.06387201,0.70359313,2.1261501,0.6782044,0.5476114,0.76948917,0.2839134,0.5952724,1.1049566,0.9041541,0.4486554,0.04182119,0.61404896,2.2079527,2.8374186,0.25391054,3.600945,1.068989,0.12762633,0.48499653,2.0904818,0.22722721,0.29874367,0.390086,0.45012194,0.4491353,2.2938647,0.32840398,1.5277151,0.104565695,1.8056767,0.058152303,3.9451919,0.24111424,1.2708427,0.25258017,1.3522087,1.2140274,0.04410074,0.15798384,1.7044549,0.20897536,0.31429073,0.86469114,1.9328753,1.0913781,0.16193062,0.46078524,1.4435836,0.124535434,0.90910065,0.67611533,0.6567903,0.2332408,0.8465482,1.0927927,0.32692018,0.05075697,2.3589787,0.43070614,0.40834567,0.8824419,0.45901406,0.25865787,1.4367115,0.5622621,0.38256887,1.5002328,1.3189623,0.892304,1.4757121,1.6309236,2.5241632,0.8446692,2.9334855,0.23512432,0.36010745,1.6795803,0.1587115,0.14858997,0.43845922,0.8759577,0.852993,0.39069375,1.4832711,0.23192734,0.9770242,0.18135326,0.5322036,0.6031297,1.8237203,0.113761716,0.37420818,1.6675475,0.2541916,0.6907695,1.9553984,0.341801,0.6101701,1.9119735,0.8783895,0.81624484,0.21210967,0.6106464,1.2861595,0.11845991,0.2582314,0.4480026,0.5975223,2.270922,1.6146857,0.13562569,0.33672097,1.1233612,0.27080736,0.028793411,0.16211465,0.05970788,1.9239577,2.0898786,0.23140988,1.2135574,0.6313817,0.5357235,0.6273365,1.0101845,1.3495965,0.5002062,0.4767292,0.40754774,0.8112222,0.29801124,0.34235597,0.101866335,1.1124521,1.3349894,0.3106583,1.4613985,2.1422956,1.4052328,0.36758453,2.6790257,0.64807504,1.3361694,0.38405856,0.118699715,0.48066214,0.6260142,0.086546436,1.3425237,0.5762655,1.4382821,0.2978413,1.4067106,2.7074506,0.42954928
hidden_0_n8,0.7834902,2.5859485,0.43594983,1.0995054,0.9064988,1.4642962,1.3851889,0.8528649,0.0,0.42132032,2.3561995,1.4826001,0.5621772,0.19013461,1.961415,1.2316008,1.5601043,1.4325471,2.693128,0.5260556,1.789103,0.97719646,2.9385998,2.0246892,0.4337939,1.7961799,0.75763834,1.2234925,1.4936349,1.4483744,0.34807736,1.0090234,1.4223874,2.2207549,2.5518885,2.055733,1.3513314,0.71804976,3.132058,0.55816853,1.0375692,0.45645493,1.0182905,2.128106,0.5069303,1.189959,2.779756,0.3394315,3.9207737,0.10190174,1.1876794,2.8408172,1.3922187,0.260809,1.866798,0.14389133,1.0832099,0.7361965,1.1482569,2.71121,1.0119464,2.6287212,1.6170722,1.7200645,2.3037732,1.2981808,2.9416857,0.81099653,1.060152,1.1117136,0.9652273,3.4405394,1.1982697,1.7477646,2.2639234,0.2719508,2.1193745,1.4421237,0.44883573,1.9072069,0.34840828,0.68899035,0.37539464,1.3084183,2.2990632,1.419881,1.9194896,1.9203578,0.61541414,1.2914165,1.658943,0.45232308,3.6613069,0.9250867,1.5435697,2.8743238,0.6734411,1.3212487,1.3621365,1.5702814,1.3524883,1.2289506,1.633121,2.120634,1.6076753,0.8256095,0.80369323,1.1863832,0.16751231,0.25210842,0.6265012,2.7643917,2.7915792,0.96630746,1.8201184,0.27986333,0.7337871,1.1350389,1.2711227,0.23004395,2.542764,1.1646224,0.16573259,1.165391,0.3268157,0.67906946,0.8807588,2.8553581,1.4154867,1.7980329,1.2268666,1.0237362,0.9787711,1.3835564,3.895181,0.54637855,1.5492295,3.6242747,1.9835263,2.1615012,1.1713203,0.2801211,2.2073474,0.48773193,2.7061458,0.7608965,2.9939466,0.5424959,1.0469476,2.691901,0.8171594,2.0687072,1.8481146,2.243998,0.5927346,0.76305014,0.8763583,0.64309496,1.3963841,0.5397696,2.6933389,0.4912148,1.6620116,2.135184,2.7464008,1.1223571,0.94489545,1.2059866,1.3332729,0.91204536,1.6466283,0.6489146,0.67864585,0.5907394,0.08062266,0.8889812,0.14968544,0.60784453,0.8485076,1.015966,0.7860182,1.8259314,4.4543157,1.2074206,1.6703241,0.2177046,0.6451498,1.864111,0.021995826,1.4737464,0.71251506,0.57363486
hidden_0_n9,2.5110095,0.70984334,0.69363064,1.6205096,0.55126137,0.106567785,1.283093,0.021392215,1.7950497,0.0,0.8690655,0.983452,1.0672351,1.273974,0.69899434,0.92152464,1.1993728,0.77625364,1.3840216,0.8691362,0.707076,0.9054475,0.31587175,0.23605306,0.2748688,0.20596272,0.12828828,0.91618466,0.09319972,2.9326713,0.51748544,0.33270264,0.42305264,0.8667619,0.010868902,1.4172498,1.3828508,0.23429269,0.33971757,0.586891,0.43781596,0.8981842,0.30425042,0.77459353,1.0014391,0.6113208,1.271241,0.38097873,0.10247264,1.3167917,0.4598772,0.7168291,1.882126,0.45181367,0.6651595,0.6073486,0.25838843,1.9179288,0.5129987,0.57907486,1.129248,0.61816686,0.9541697,1.6034745,0.5047659,0.69804233,0.37306437,0.16706003,0.8288243,0.0040559103,0.43900138,0.67451155,0.96521705,1.0229088,1.9353839,0.7941159,0.6595295,0.30705124,0.29113248,0.38177767,0.7685556,1.5387189,0.30328813,0.45817673,0.4047458,0.4835815,1.0082563,1.4946365,0.6337838,0.11274296,0.70668024,1.2903569,0.66092443,0.5323394,0.75354844,0.315445,1.6055043,0.48817295,0.54481375,1.3793192,1.91237,0.66820294,0.048127886,0.37430325,0.50588596,0.058953654,3.4718838,1.2056564,0.6799268,1.9844943,0.7461831,0.81499386,2.1132839,0.67620325,1.0571105,0.705126,1.1312102,1.1764779,0.12727411,0.85279655,0.9693624,1.2656801,1.891487,0.35575822,0.6562832,0.1962375,0.6382967,0.82264334,0.82952905,0.1833669,0.4586963,0.011443177,0.004151814,0.70687646,0.4822789,1.0658555,2.3382747,0.7703744,0.6222919,0.06447027,0.9252354,0.626766,1.4748784,1.0415446,0.3263543,0.8514965,2.8705194,1.2821797,0.6975509,0.51044697,0.71139956,0.5583367,0.43306383,0.07673784,0.47536948,0.86839336,0.24318002,0.21383949,0.15682594,0.32056555,0.7118788,0.48872504,0.29304555,0.29566878,0.25400627,0.5666678,1.4507544,0.3178628,0.15179683,2.3008268,1.5635881,0.81171167,0.47713393,0.6899805,2.1670685,0.18042727,0.1987856,0.8240818,0.12534855,0.91879094,0.26312017,0.14135481,1.2558768,0.671516,0.9657407,0.6826086,0.12317089,0.15313494,2.3243413,0.91721755,0.1693767,0.30516335
