neuron,stationary,adf_pvalue,f_stat,granger_pvalue,is_causal
hidden_0_n0,False,1.0,0.0,1.0,False
hidden_0_n1,False,1.0,0.0,1.0,False
hidden_0_n2,False,1.0,0.0,1.0,False
hidden_0_n3,False,1.0,0.0,1.0,False
hidden_0_n4,False,1.0,0.0,1.0,False
hidden_0_n5,False,1.0,0.0,1.0,False
hidden_0_n6,False,1.0,0.0,1.0,False
hidden_0_n7,False,1.0,0.0,1.0,False
hidden_0_n8,False,1.0,0.0,1.0,False
hidden_0_n9,False,1.0,0.0,1.0,False
hidden_0_n10,False,1.0,0.0,1.0,False
hidden_0_n11,False,1.0,0.0,1.0,False
hidden_0_n12,False,1.0,0.0,1.0,False
hidden_0_n13,False,1.0,0.0,1.0,False
hidden_0_n14,False,1.0,0.0,1.0,False
hidden_0_n15,False,1.0,0.0,1.0,False
hidden_0_n16,False,1.0,0.0,1.0,False
hidden_0_n17,False,1.0,0.0,1.0,False
hidden_0_n18,False,1.0,0.0,1.0,False
hidden_0_n19,False,1.0,0.0,1.0,False
hidden_0_n20,False,1.0,0.0,1.0,False
hidden_0_n21,False,1.0,0.0,1.0,False
hidden_0_n22,False,1.0,0.0,1.0,False
hidden_0_n23,False,1.0,0.0,1.0,False
hidden_0_n24,False,1.0,0.0,1.0,False
hidden_0_n25,False,1.0,0.0,1.0,False
hidden_0_n26,False,1.0,0.0,1.0,False
hidden_0_n27,False,1.0,0.0,1.0,False
hidden_0_n28,False,1.0,0.0,1.0,False
hidden_0_n29,False,1.0,0.0,1.0,False
hidden_0_n30,False,1.0,0.0,1.0,False
hidden_0_n31,False,1.0,0.0,1.0,False
hidden_1_n0,False,1.0,0.0,1.0,False
hidden_1_n1,False,1.0,0.0,1.0,False
hidden_1_n2,False,1.0,0.0,1.0,False
hidden_1_n3,False,1.0,0.0,1.0,False
hidden_1_n4,False,1.0,0.0,1.0,False
hidden_1_n5,False,1.0,0.0,1.0,False
hidden_1_n6,False,1.0,0.0,1.0,False
hidden_1_n7,False,1.0,0.0,1.0,False
hidden_1_n8,False,1.0,0.0,1.0,False
hidden_1_n9,False,1.0,0.0,1.0,False
hidden_1_n10,False,1.0,0.0,1.0,False
hidden_1_n11,False,1.0,0.0,1.0,False
hidden_1_n12,False,1.0,0.0,1.0,False
hidden_1_n13,False,1.0,0.0,1.0,False
hidden_1_n14,False,1.0,0.0,1.0,False
hidden_1_n15,False,1.0,0.0,1.0,False
