label,method,seed,prune_pct,train_loss,test_loss,accuracy,f1_score,n_params,model_size_kb,inference_ms
baseline,baseline,42,0,0.1368,0.3029,0.8571,0.8542,2514,12.88,0.096
causal_10,causal,42,10,0.0542,0.3421,0.881,0.8792,2251,11.63,0.108
causal_20,causal,42,20,0.0779,0.3355,0.8333,0.8286,1965,10.57,0.112
causal_30,causal,42,30,0.0868,0.3508,0.8333,0.8286,1717,9.63,0.061
causal_40,causal,42,40,0.1189,0.333,0.8333,0.8286,1452,8.63,0.061
causal_50,causal,42,50,0.1576,0.334,0.8333,0.8286,1130,7.44,0.11
causal_60,causal,42,60,0.2213,0.3359,0.8095,0.8024,907,6.38,0.153
causal_70,causal,42,70,0.3069,0.3447,0.8333,0.8286,677,5.57,0.233
magnitude_10,magnitude,42,10,0.0606,0.3436,0.8333,0.8286,2251,11.63,0.092
magnitude_20,magnitude,42,20,0.0801,0.3466,0.8333,0.8286,1965,10.57,0.114
magnitude_30,magnitude,42,30,0.0998,0.3477,0.8333,0.8286,1717,9.63,0.338
magnitude_40,magnitude,42,40,0.1144,0.3613,0.8333,0.8286,1452,8.63,0.248
magnitude_50,magnitude,42,50,0.1569,0.3363,0.8333,0.8286,1130,7.44,0.196
magnitude_60,magnitude,42,60,0.2073,0.3225,0.8333,0.8286,907,6.38,0.145
magnitude_70,magnitude,42,70,0.3227,0.3638,0.8333,0.8286,677,5.57,0.287
random_10,random,42,10,0.0811,0.2988,0.8571,0.8542,2251,11.63,0.185
random_20,random,42,20,0.1158,0.3213,0.881,0.8776,1965,10.57,0.094
random_30,random,42,30,0.1122,0.3009,0.881,0.8792,1717,9.63,0.107
random_40,random,42,40,0.1761,0.3001,0.9286,0.9275,1452,8.63,0.162
random_50,random,42,50,0.3119,0.4632,0.8095,0.8024,1130,7.44,0.094
random_60,random,42,60,0.4175,0.4857,0.7619,0.7569,907,6.38,0.242
random_70,random,42,70,0.431,0.4518,0.8095,0.8056,677,5.57,0.14
baseline,baseline,123,0,0.11,0.3528,0.8571,0.8542,2514,12.88,0.097
causal_10,causal,123,10,0.0321,0.4371,0.8571,0.8542,2251,11.63,0.23
causal_20,causal,123,20,0.0488,0.4189,0.8571,0.8542,1965,10.57,0.106
causal_30,causal,123,30,0.0782,0.3929,0.8571,0.8542,1717,9.63,0.104
causal_40,causal,123,40,0.1275,0.3245,0.8571,0.8542,1452,8.63,0.115
causal_50,causal,123,50,0.1674,0.3269,0.8571,0.8542,1130,7.44,0.363
causal_60,causal,123,60,0.2152,0.3308,0.8571,0.8542,907,6.38,0.441
causal_70,causal,123,70,0.4141,0.4801,0.8095,0.8024,677,5.57,0.094
