method,prune_pct,accuracy_mean,accuracy_std,f1_mean,f1_std,params_mean,inference_ms_mean
causal,10,0.8650666666666668,0.013798671433632075,0.8625333333333334,0.014433756729740706,2251.0,0.16266666666666665
causal,20,0.8571333333333334,0.023850017470294114,0.854,0.025300592878428774,1965.0,0.10866666666666668
causal,30,0.8571333333333334,0.023850017470294114,0.854,0.025300592878428774,1717.0,0.13399999999999998
causal,40,0.8491666666666666,0.013740936406713094,0.8456666666666667,0.014780166891254441,1452.0,0.26299999999999996
causal,50,0.8491666666666666,0.013740936406713094,0.8456666666666667,0.014780166891254441,1130.0,0.27133333333333337
causal,60,0.8333,0.023800000000000016,0.8283999999999999,0.025900579144104048,907.0,0.2843333333333333
causal,70,0.8253666666666667,0.013740936406713119,0.8198666666666666,0.015126577052768203,677.0,0.22399999999999998
magnitude,10,0.8491666666666666,0.013740936406713094,0.8456666666666667,0.014780166891254441,2251.0,0.25933333333333336
magnitude,20,0.8491666666666666,0.013740936406713094,0.8462,0.01526302722267116,1965.0,0.20466666666666666
magnitude,30,0.8571333333333334,0.023850017470294114,0.854,0.025300592878428774,1717.0,0.232
magnitude,40,0.8571333333333334,0.023850017470294114,0.854,0.025300592878428774,1452.0,0.15966666666666665
magnitude,50,0.8333,0.02379999999999996,0.8294666666666667,0.024311588457633357,1130.0,0.24066666666666667
magnitude,60,0.8412333333333333,0.013740936406713054,0.8379,0.014162979912433683,907.0,0.11699999999999999
magnitude,70,0.8333,0.0,0.8293666666666667,0.0013279056191361051,677.0,0.20166666666666666
random,10,0.8491666666666666,0.013740936406713039,0.8456666666666667,0.014780166891254411,2251.0,0.20266666666666666
random,20,0.8650666666666668,0.013798671433632075,0.862,0.013509996299037293,1965.0,0.2373333333333333
random,30,0.8492000000000001,0.03639876371526922,0.8452666666666667,0.039171588343253794,1717.0,0.104
random,40,0.8571333333333334,0.06302557681872757,0.8539,0.0647685880655121,1452.0,0.26866666666666666
random,50,0.8253666666666667,0.013740936406713119,0.8211666666666666,0.016368974718452382,1130.0,0.105
random,60,0.8174333333333333,0.04954365078729391,0.8140000000000001,0.0508038384376613,907.0,0.15033333333333335
random,70,0.7936333333333333,0.027481872813426157,0.7898,0.024647109363980256,677.0,0.15233333333333335
